DBN,School Name,Grade Level,Program Type,Number of Students,Number of Classes,Average Class Size,Minimum Class Size,Maximum Class Size
01M015,PS 015 ROBERTO CLEMENTE,K,G&T,13,1,13,<15,<15
01M015,PS 015 ROBERTO CLEMENTE,K,ICT,17,1,17,17,17
01M015,PS 015 ROBERTO CLEMENTE,1,G&T,8,1,8,<15,<15
01M015,PS 015 ROBERTO CLEMENTE,1,ICT,18,1,18,18,18
01M015,PS 015 ROBERTO CLEMENTE,2,G&T,8,1,8,<15,<15
01M015,PS 015 ROBERTO CLEMENTE,2,ICT,16,1,16,16,16
01M015,PS 015 ROBERTO CLEMENTE,3,G&T,8,1,8,<15,<15
01M015,PS 015 ROBERTO CLEMENTE,3,ICT,14,1,14,<15,<15
01M015,PS 015 ROBERTO CLEMENTE,4,G&T,10,1,10,<15,<15
01M015,PS 015 ROBERTO CLEMENTE,4,ICT,22,1,22,22,22
01M015,PS 015 ROBERTO CLEMENTE,5,G&T,12,1,12,<15,<15
01M015,PS 015 ROBERTO CLEMENTE,5,ICT,17,1,17,17,17
01M019,PS 019 ASHER LEVY,K,ICT,22,2,11,<15,<15
01M019,PS 019 ASHER LEVY,1,ICT,20,2,10,<15,<15
01M019,PS 019 ASHER LEVY,2,ICT,22,2,11,<15,<15
01M019,PS 019 ASHER LEVY,3,ICT,23,2,11.5,<15,<15
01M019,PS 019 ASHER LEVY,4,ICT,31,2,15.5,<15,17
01M019,PS 019 ASHER LEVY,5,ICT,33,2,16.5,16,17
01M020,PS 020 ANNA SILVER,K,Gen Ed,33,2,16.5,<15,20
01M020,PS 020 ANNA SILVER,K,ICT,19,1,19,19,19
01M020,PS 020 ANNA SILVER,1,Gen Ed,31,2,15.5,15,16
01M020,PS 020 ANNA SILVER,1,ICT,19,1,19,19,19
01M020,PS 020 ANNA SILVER,2,Gen Ed,24,2,12,<15,15
01M020,PS 020 ANNA SILVER,2,ICT,18,1,18,18,18
01M020,PS 020 ANNA SILVER,3,Gen Ed,30,3,10,<15,<15
01M020,PS 020 ANNA SILVER,3,ICT,17,1,17,17,17
01M020,PS 020 ANNA SILVER,4,Gen Ed,18,2,9,<15,<15
01M020,PS 020 ANNA SILVER,4,ICT,19,1,19,19,19
01M020,PS 020 ANNA SILVER,5,Gen Ed,16,1,16,16,16
01M020,PS 020 ANNA SILVER,5,ICT,36,3,12,<15,<15
01M034,PS 034 FRANKLIN D ROOSEVELT,K,ICT,15,1,15,15,15
01M034,PS 034 FRANKLIN D ROOSEVELT,1,ICT,21,1,21,21,21
01M034,PS 034 FRANKLIN D ROOSEVELT,2,ICT,25,1,25,25,25
01M034,PS 034 FRANKLIN D ROOSEVELT,3,ICT,27,1,27,27,27
01M034,PS 034 FRANKLIN D ROOSEVELT,4,ICT,17,1,17,17,17
01M034,PS 034 FRANKLIN D ROOSEVELT,5,ICT,21,1,21,21,21
01M034,PS 034 FRANKLIN D ROOSEVELT,6,ICT,28,2,14,<15,15
01M034,PS 034 FRANKLIN D ROOSEVELT,7,ICT,46,2,23,21,25
01M034,PS 034 FRANKLIN D ROOSEVELT,8,ICT,38,2,19,19,19
01M063,THE STAR ACADEMY - PS63,K,ICT,23,2,11.5,<15,<15
01M063,THE STAR ACADEMY - PS63,1,ICT,34,2,17,17,17
01M063,THE STAR ACADEMY - PS63,2,ICT,27,2,13.5,<15,16
01M063,THE STAR ACADEMY - PS63,3,ICT,30,2,15,<15,16
01M063,THE STAR ACADEMY - PS63,4,ICT,26,1,26,26,26
01M063,THE STAR ACADEMY - PS63,5,ICT,21,1,21,21,21
01M064,PS 064 ROBERT SIMON,K,ICT,24,1,24,24,24
01M064,PS 064 ROBERT SIMON,1,ICT,15,1,15,15,15
01M064,PS 064 ROBERT SIMON,2,ICT,17,1,17,17,17
01M064,PS 064 ROBERT SIMON,3,Gen Ed,21,1,21,21,21
01M064,PS 064 ROBERT SIMON,3,ICT,20,1,20,20,20
01M064,PS 064 ROBERT SIMON,4,Gen Ed,14,1,14,<15,<15
01M064,PS 064 ROBERT SIMON,4,ICT,17,1,17,17,17
01M064,PS 064 ROBERT SIMON,5,ICT,43,2,21.5,21,22
01M110,PS 110 FLORENCE NIGHTINGALE,K,Gen Ed,12,1,12,<15,<15
01M110,PS 110 FLORENCE NIGHTINGALE,K,G&T,22,1,22,22,22
01M110,PS 110 FLORENCE NIGHTINGALE,K,ICT,17,1,17,17,17
01M110,PS 110 FLORENCE NIGHTINGALE,1,Gen Ed,20,1,20,20,20
01M110,PS 110 FLORENCE NIGHTINGALE,1,G&T,12,1,12,<15,<15
01M110,PS 110 FLORENCE NIGHTINGALE,1,ICT,21,1,21,21,21
01M110,PS 110 FLORENCE NIGHTINGALE,2,Gen Ed,18,1,18,18,18
01M110,PS 110 FLORENCE NIGHTINGALE,2,G&T,19,1,19,19,19
01M110,PS 110 FLORENCE NIGHTINGALE,2,ICT,17,1,17,17,17
01M110,PS 110 FLORENCE NIGHTINGALE,3,Gen Ed,12,1,12,<15,<15
01M110,PS 110 FLORENCE NIGHTINGALE,3,G&T,20,1,20,20,20
01M110,PS 110 FLORENCE NIGHTINGALE,3,ICT,16,1,16,16,16
01M110,PS 110 FLORENCE NIGHTINGALE,4,Gen Ed,14,1,14,<15,<15
01M110,PS 110 FLORENCE NIGHTINGALE,4,G&T,17,1,17,17,17
01M110,PS 110 FLORENCE NIGHTINGALE,4,ICT,20,1,20,20,20
01M110,PS 110 FLORENCE NIGHTINGALE,5,G&T,25,1,25,25,25
01M110,PS 110 FLORENCE NIGHTINGALE,5,ICT,23,1,23,23,23
01M134,PS 134 HENRIETTA SZOLD,K,ICT,19,1,19,19,19
01M134,PS 134 HENRIETTA SZOLD,1,ICT,20,1,20,20,20
01M134,PS 134 HENRIETTA SZOLD,2,ICT,20,1,20,20,20
01M134,PS 134 HENRIETTA SZOLD,3,Gen Ed,13,1,13,<15,<15
01M134,PS 134 HENRIETTA SZOLD,3,ICT,15,1,15,15,15
01M134,PS 134 HENRIETTA SZOLD,4,ICT,25,1,25,25,25
01M134,PS 134 HENRIETTA SZOLD,5,ICT,24,1,24,24,24
01M140,PS 140 NATHAN STRAUS,K,ICT,26,2,13,<15,<15
01M140,PS 140 NATHAN STRAUS,1,Gen Ed,22,1,22,22,22
01M140,PS 140 NATHAN STRAUS,2,ICT,25,1,25,25,25
01M140,PS 140 NATHAN STRAUS,3,Gen Ed,22,1,22,22,22
01M140,PS 140 NATHAN STRAUS,4,ICT,23,1,23,23,23
01M140,PS 140 NATHAN STRAUS,5,Gen Ed,19,1,19,19,19
01M140,PS 140 NATHAN STRAUS,6,ICT,49,2,24.5,23,26
01M140,PS 140 NATHAN STRAUS,7,Gen Ed,18,1,18,18,18
01M140,PS 140 NATHAN STRAUS,7,ICT,18,1,18,18,18
01M140,PS 140 NATHAN STRAUS,8,ICT,47,2,23.5,23,24
01M142,PS 142 AMALIA CASTRO,K,Gen Ed,32,2,16,16,16
01M142,PS 142 AMALIA CASTRO,K,ICT,17,1,17,17,17
01M142,PS 142 AMALIA CASTRO,1,Gen Ed,24,1,24,24,24
01M142,PS 142 AMALIA CASTRO,1,ICT,26,1,26,26,26
01M142,PS 142 AMALIA CASTRO,2,Gen Ed,16,1,16,16,16
01M142,PS 142 AMALIA CASTRO,2,ICT,20,1,20,20,20
01M142,PS 142 AMALIA CASTRO,3,Gen Ed,19,1,19,19,19
01M142,PS 142 AMALIA CASTRO,3,ICT,20,1,20,20,20
01M142,PS 142 AMALIA CASTRO,4,Gen Ed,18,1,18,18,18
01M142,PS 142 AMALIA CASTRO,4,ICT,21,1,21,21,21
01M142,PS 142 AMALIA CASTRO,5,Gen Ed,35,2,17.5,17,18
01M184,PS 184M SHUANG WEN,K,Gen Ed,62,3,20.7,18,22
01M184,PS 184M SHUANG WEN,K,ICT,22,1,22,22,22
01M184,PS 184M SHUANG WEN,1,Gen Ed,48,2,24,24,24
01M184,PS 184M SHUANG WEN,1,ICT,22,1,22,22,22
01M184,PS 184M SHUANG WEN,2,Gen Ed,45,2,22.5,22,23
01M184,PS 184M SHUANG WEN,2,ICT,23,1,23,23,23
01M184,PS 184M SHUANG WEN,3,Gen Ed,25,1,25,25,25
01M184,PS 184M SHUANG WEN,3,ICT,25,1,25,25,25
01M184,PS 184M SHUANG WEN,4,Gen Ed,28,1,28,28,28
01M184,PS 184M SHUANG WEN,4,ICT,29,1,29,29,29
01M184,PS 184M SHUANG WEN,5,Gen Ed,29,1,29,29,29
01M184,PS 184M SHUANG WEN,5,ICT,26,1,26,26,26
01M184,PS 184M SHUANG WEN,6,Gen Ed,69,3,23,21,24
01M184,PS 184M SHUANG WEN,6,ICT,20,1,20,20,20
01M184,PS 184M SHUANG WEN,7,Gen Ed,50,2,25,24,26
01M184,PS 184M SHUANG WEN,7,ICT,46,2,23,21,25
01M184,PS 184M SHUANG WEN,8,Gen Ed,45,2,22.5,22,23
01M184,PS 184M SHUANG WEN,8,ICT,50,2,25,25,25
01M188,PS 188 THE ISLAND SCHOOL,K,ICT,28,2,14,<15,15
01M188,PS 188 THE ISLAND SCHOOL,1,ICT,26,1,26,26,26
01M188,PS 188 THE ISLAND SCHOOL,2,ICT,34,2,17,16,18
01M188,PS 188 THE ISLAND SCHOOL,3,ICT,30,2,15,<15,19
01M188,PS 188 THE ISLAND SCHOOL,4,ICT,33,2,16.5,16,17
01M188,PS 188 THE ISLAND SCHOOL,5,ICT,30,2,15,<15,16
01M188,PS 188 THE ISLAND SCHOOL,6,ICT,55,2,27.5,27,28
01M188,PS 188 THE ISLAND SCHOOL,7,ICT,40,2,20,19,21
01M188,PS 188 THE ISLAND SCHOOL,8,ICT,46,2,23,22,24
01M315,THE EAST VILLAGE COMMUNITY SCHOOL,K,Gen Ed,21,1,21,21,21
01M315,THE EAST VILLAGE COMMUNITY SCHOOL,K,ICT,22,1,22,22,22
01M315,THE EAST VILLAGE COMMUNITY SCHOOL,1,Gen Ed,25,1,25,25,25
01M315,THE EAST VILLAGE COMMUNITY SCHOOL,1,ICT,26,1,26,26,26
01M315,THE EAST VILLAGE COMMUNITY SCHOOL,2,Gen Ed,24,1,24,24,24
01M315,THE EAST VILLAGE COMMUNITY SCHOOL,2,ICT,24,1,24,24,24
01M315,THE EAST VILLAGE COMMUNITY SCHOOL,3,Gen Ed,21,1,21,21,21
01M315,THE EAST VILLAGE COMMUNITY SCHOOL,3,ICT,20,1,20,20,20
01M315,THE EAST VILLAGE COMMUNITY SCHOOL,4,Gen Ed,19,1,19,19,19
01M315,THE EAST VILLAGE COMMUNITY SCHOOL,4,ICT,19,1,19,19,19
01M315,THE EAST VILLAGE COMMUNITY SCHOOL,5,Gen Ed,21,1,21,21,21
01M315,THE EAST VILLAGE COMMUNITY SCHOOL,5,ICT,25,1,25,25,25
01M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,6,ICT,65,3,21.7,21,22
01M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,7,ICT,58,3,19.3,19,20
01M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,8,ICT,58,3,19.3,19,20
01M361,THE CHILDREN'S WORKSHOP SCHOOL,K,Gen Ed,22,1,22,22,22
01M361,THE CHILDREN'S WORKSHOP SCHOOL,K,ICT,20,1,20,20,20
01M361,THE CHILDREN'S WORKSHOP SCHOOL,3,Gen Ed,19,1,19,19,19
01M361,THE CHILDREN'S WORKSHOP SCHOOL,3,ICT,20,1,20,20,20
01M361,THE CHILDREN'S WORKSHOP SCHOOL,4,Gen Ed,16,1,16,16,16
01M361,THE CHILDREN'S WORKSHOP SCHOOL,4,ICT,20,1,20,20,20
01M361,THE CHILDREN'S WORKSHOP SCHOOL,5,ICT,41,2,20.5,20,21
01M378,SCHOOL FOR GLOBAL LEADERS,6,ICT,51,3,17,<15,22
01M378,SCHOOL FOR GLOBAL LEADERS,7,ICT,61,3,20.3,19,21
01M378,SCHOOL FOR GLOBAL LEADERS,8,ICT,55,2,27.5,27,28
01M450,EAST SIDE COMMUNITY SCHOOL,6,ICT,110,9,12.2,<15,21
01M450,EAST SIDE COMMUNITY SCHOOL,7,ICT,89,7,12.7,<15,21
01M450,EAST SIDE COMMUNITY SCHOOL,8,ICT,93,7,13.3,<15,21
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",K,G&T,100,4,25,25,25
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",1,ICT & G&T,107,4,26.8,25,28
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",2,G&T,52,2,26,24,28
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",2,ICT & G&T,49,2,24.5,24,25
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",3,ICT & G&T,111,4,27.8,27,28
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",4,ICT & G&T,107,4,26.8,22,29
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",5,ICT & G&T,110,4,27.5,27,28
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",6,ICT,138,5,27.6,26,29
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",7,ICT,116,2,58,26,90
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",8,ICT,22,1,22,22,22
01M839,TOMPKINS SQUARE MIDDLE SCHOOL,6,Gen Ed,26,1,26,26,26
01M839,TOMPKINS SQUARE MIDDLE SCHOOL,6,ICT,75,3,25,24,26
01M839,TOMPKINS SQUARE MIDDLE SCHOOL,7,Gen Ed,27,1,27,27,27
01M839,TOMPKINS SQUARE MIDDLE SCHOOL,7,ICT,86,3,28.7,28,30
01M839,TOMPKINS SQUARE MIDDLE SCHOOL,8,Gen Ed,28,1,28,28,28
01M839,TOMPKINS SQUARE MIDDLE SCHOOL,8,ICT,79,3,26.3,25,28
02M001,PS 001 ALFRED E SMITH,K,Gen Ed,17,1,17,17,17
02M001,PS 001 ALFRED E SMITH,K,ICT,16,1,16,16,16
02M001,PS 001 ALFRED E SMITH,1,Gen Ed,15,1,15,15,15
02M001,PS 001 ALFRED E SMITH,1,ICT,13,1,13,<15,<15
02M001,PS 001 ALFRED E SMITH,2,Gen Ed,23,1,23,23,23
02M001,PS 001 ALFRED E SMITH,3,Gen Ed,15,1,15,15,15
02M001,PS 001 ALFRED E SMITH,3,ICT,14,1,14,<15,<15
02M001,PS 001 ALFRED E SMITH,4,Gen Ed,17,1,17,17,17
02M001,PS 001 ALFRED E SMITH,4,ICT,19,1,19,19,19
02M001,PS 001 ALFRED E SMITH,5,Gen Ed,18,1,18,18,18
02M001,PS 001 ALFRED E SMITH,5,ICT,21,1,21,21,21
02M002,PS 002 MEYER LONDON,K,Gen Ed,29,2,14.5,<15,16
02M002,PS 002 MEYER LONDON,K,ICT,18,1,18,18,18
02M002,PS 002 MEYER LONDON,1,Gen Ed,36,2,18,<15,22
02M002,PS 002 MEYER LONDON,1,ICT,21,1,21,21,21
02M002,PS 002 MEYER LONDON,2,Gen Ed,27,2,13.5,<15,15
02M002,PS 002 MEYER LONDON,2,ICT,20,1,20,20,20
02M002,PS 002 MEYER LONDON,3,Gen Ed,31,2,15.5,15,16
02M002,PS 002 MEYER LONDON,3,ICT,16,1,16,16,16
02M002,PS 002 MEYER LONDON,4,Gen Ed,38,2,19,17,21
02M002,PS 002 MEYER LONDON,4,ICT,38,2,19,18,20
02M002,PS 002 MEYER LONDON,5,Gen Ed,33,2,16.5,16,17
02M002,PS 002 MEYER LONDON,5,ICT,20,1,20,20,20
02M003,PS 003 CHARRETTE SCHOOL,K,Gen Ed,59,3,19.7,19,20
02M003,PS 003 CHARRETTE SCHOOL,K,ICT,21,1,21,21,21
02M003,PS 003 CHARRETTE SCHOOL,1,Gen Ed,59,3,19.7,16,22
02M003,PS 003 CHARRETTE SCHOOL,1,ICT,19,1,19,19,19
02M003,PS 003 CHARRETTE SCHOOL,2,Gen Ed,44,2,22,22,22
02M003,PS 003 CHARRETTE SCHOOL,2,ICT,23,1,23,23,23
02M003,PS 003 CHARRETTE SCHOOL,3,Gen Ed,24,1,24,24,24
02M003,PS 003 CHARRETTE SCHOOL,3,ICT,51,2,25.5,25,26
02M003,PS 003 CHARRETTE SCHOOL,4,Gen Ed,24,1,24,24,24
02M003,PS 003 CHARRETTE SCHOOL,4,ICT,53,2,26.5,26,27
02M003,PS 003 CHARRETTE SCHOOL,5,ICT,74,3,24.7,23,28
02M006,PS 006 LILLIE D BLAKE,K,Gen Ed,68,3,22.7,22,23
02M006,PS 006 LILLIE D BLAKE,K,ICT,23,1,23,23,23
02M006,PS 006 LILLIE D BLAKE,1,Gen Ed,69,3,23,23,23
02M006,PS 006 LILLIE D BLAKE,1,ICT,21,1,21,21,21
02M006,PS 006 LILLIE D BLAKE,2,Gen Ed,63,3,21,20,22
02M006,PS 006 LILLIE D BLAKE,2,ICT,18,1,18,18,18
02M006,PS 006 LILLIE D BLAKE,3,Gen Ed,61,3,20.3,18,22
02M006,PS 006 LILLIE D BLAKE,3,ICT,20,1,20,20,20
02M006,PS 006 LILLIE D BLAKE,4,Gen Ed,60,3,20,19,22
02M006,PS 006 LILLIE D BLAKE,4,ICT,21,1,21,21,21
02M006,PS 006 LILLIE D BLAKE,5,Gen Ed,23,1,23,23,23
02M006,PS 006 LILLIE D BLAKE,5,ICT,45,2,22.5,20,25
02M011,PS 011 WILLIAM T HARRIS,K,Gen Ed,39,3,13,<15,<15
02M011,PS 011 WILLIAM T HARRIS,K,G&T,41,2,20.5,20,21
02M011,PS 011 WILLIAM T HARRIS,K,ICT,16,1,16,16,16
02M011,PS 011 WILLIAM T HARRIS,1,Gen Ed,63,3,21,20,22
02M011,PS 011 WILLIAM T HARRIS,1,G&T,49,2,24.5,24,25
02M011,PS 011 WILLIAM T HARRIS,1,ICT,20,1,20,20,20
02M011,PS 011 WILLIAM T HARRIS,2,Gen Ed,46,3,15.3,<15,16
02M011,PS 011 WILLIAM T HARRIS,2,G&T,55,2,27.5,26,29
02M011,PS 011 WILLIAM T HARRIS,2,ICT,18,1,18,18,18
02M011,PS 011 WILLIAM T HARRIS,3,Gen Ed,52,2,26,25,27
02M011,PS 011 WILLIAM T HARRIS,3,G&T,55,2,27.5,27,28
02M011,PS 011 WILLIAM T HARRIS,3,ICT,24,1,24,24,24
02M011,PS 011 WILLIAM T HARRIS,4,Gen Ed,33,2,16.5,16,17
02M011,PS 011 WILLIAM T HARRIS,4,G&T,47,2,23.5,22,25
02M011,PS 011 WILLIAM T HARRIS,4,ICT,22,1,22,22,22
02M011,PS 011 WILLIAM T HARRIS,5,Gen Ed,65,3,21.7,21,22
02M011,PS 011 WILLIAM T HARRIS,5,G&T,46,2,23,23,23
02M011,PS 011 WILLIAM T HARRIS,5,ICT,22,1,22,22,22
02M033,PS 033 CHELSEA PREP,K,Gen Ed,15,1,15,15,15
02M033,PS 033 CHELSEA PREP,K,G&T,41,2,20.5,20,21
02M033,PS 033 CHELSEA PREP,K,ICT,13,1,13,<15,<15
02M033,PS 033 CHELSEA PREP,1,Gen Ed,26,1,26,26,26
02M033,PS 033 CHELSEA PREP,1,G&T,31,2,15.5,<15,17
02M033,PS 033 CHELSEA PREP,1,ICT,26,1,26,26,26
02M033,PS 033 CHELSEA PREP,2,Gen Ed,18,1,18,18,18
02M033,PS 033 CHELSEA PREP,2,G&T,39,2,19.5,18,21
02M033,PS 033 CHELSEA PREP,2,ICT,18,1,18,18,18
02M033,PS 033 CHELSEA PREP,3,Gen Ed,16,1,16,16,16
02M033,PS 033 CHELSEA PREP,3,G&T,46,2,23,23,23
02M033,PS 033 CHELSEA PREP,3,ICT,18,1,18,18,18
02M033,PS 033 CHELSEA PREP,4,Gen Ed,15,1,15,15,15
02M033,PS 033 CHELSEA PREP,4,G&T,48,2,24,24,24
02M033,PS 033 CHELSEA PREP,4,ICT,16,1,16,16,16
02M033,PS 033 CHELSEA PREP,5,Gen Ed,21,1,21,21,21
02M033,PS 033 CHELSEA PREP,5,G&T,29,2,14.5,<15,15
02M033,PS 033 CHELSEA PREP,5,ICT,21,1,21,21,21
02M040,PS 040 AUGUSTUS SAINT-GAUDENS,K,Gen Ed,83,4,20.8,20,22
02M040,PS 040 AUGUSTUS SAINT-GAUDENS,K,ICT,21,1,21,21,21
02M040,PS 040 AUGUSTUS SAINT-GAUDENS,1,Gen Ed,70,3,23.3,23,24
02M040,PS 040 AUGUSTUS SAINT-GAUDENS,1,ICT,27,1,27,27,27
02M040,PS 040 AUGUSTUS SAINT-GAUDENS,2,Gen Ed,66,3,22,21,23
02M040,PS 040 AUGUSTUS SAINT-GAUDENS,2,ICT,23,1,23,23,23
02M040,PS 040 AUGUSTUS SAINT-GAUDENS,3,Gen Ed,57,2,28.5,28,29
02M040,PS 040 AUGUSTUS SAINT-GAUDENS,3,ICT,28,1,28,28,28
02M040,PS 040 AUGUSTUS SAINT-GAUDENS,4,Gen Ed,79,3,26.3,25,27
02M040,PS 040 AUGUSTUS SAINT-GAUDENS,4,ICT,27,1,27,27,27
02M040,PS 040 AUGUSTUS SAINT-GAUDENS,5,Gen Ed,72,3,24,23,25
02M040,PS 040 AUGUSTUS SAINT-GAUDENS,5,ICT,25,1,25,25,25
02M041,PS 041 GREENWICH VILLAGE,K,Gen Ed,54,3,18,17,19
02M041,PS 041 GREENWICH VILLAGE,K,ICT,20,1,20,20,20
02M041,PS 041 GREENWICH VILLAGE,1,Gen Ed,39,2,19.5,19,20
02M041,PS 041 GREENWICH VILLAGE,1,ICT,19,1,19,19,19
02M041,PS 041 GREENWICH VILLAGE,2,Gen Ed,45,2,22.5,22,23
02M041,PS 041 GREENWICH VILLAGE,2,ICT,28,1,28,28,28
02M041,PS 041 GREENWICH VILLAGE,3,Gen Ed,45,2,22.5,22,23
02M041,PS 041 GREENWICH VILLAGE,3,ICT,24,1,24,24,24
02M041,PS 041 GREENWICH VILLAGE,4,Gen Ed,56,2,28,28,28
02M041,PS 041 GREENWICH VILLAGE,4,ICT,31,1,31,31,31
02M041,PS 041 GREENWICH VILLAGE,5,Gen Ed,42,2,21,21,21
02M041,PS 041 GREENWICH VILLAGE,5,ICT,23,1,23,23,23
02M042,PS 042 BENJAMIN ALTMAN,K,Gen Ed,49,3,16.3,16,17
02M042,PS 042 BENJAMIN ALTMAN,K,ICT,47,3,15.7,<15,19
02M042,PS 042 BENJAMIN ALTMAN,1,Gen Ed,18,1,18,18,18
02M042,PS 042 BENJAMIN ALTMAN,1,ICT,52,3,17.3,<15,19
02M042,PS 042 BENJAMIN ALTMAN,2,ICT,71,3,23.7,15,29
02M042,PS 042 BENJAMIN ALTMAN,3,Gen Ed,22,1,22,22,22
02M042,PS 042 BENJAMIN ALTMAN,3,ICT,47,2,23.5,23,24
02M042,PS 042 BENJAMIN ALTMAN,4,Gen Ed,43,2,21.5,21,22
02M042,PS 042 BENJAMIN ALTMAN,4,ICT,42,2,21,20,22
02M042,PS 042 BENJAMIN ALTMAN,5,Gen Ed,42,2,21,19,23
02M042,PS 042 BENJAMIN ALTMAN,5,ICT,42,2,21,17,25
02M051,PS 051 ELIAS HOWE,K,Gen Ed,18,1,18,18,18
02M051,PS 051 ELIAS HOWE,K,ICT,41,2,20.5,18,23
02M051,PS 051 ELIAS HOWE,1,Gen Ed,36,2,18,18,18
02M051,PS 051 ELIAS HOWE,1,ICT,24,1,24,24,24
02M051,PS 051 ELIAS HOWE,2,ICT,53,2,26.5,25,28
02M051,PS 051 ELIAS HOWE,3,ICT,61,3,20.3,19,22
02M051,PS 051 ELIAS HOWE,4,Gen Ed,39,2,19.5,19,20
02M051,PS 051 ELIAS HOWE,4,ICT,25,1,25,25,25
02M051,PS 051 ELIAS HOWE,5,Gen Ed,25,1,25,25,25
02M051,PS 051 ELIAS HOWE,5,ICT,52,2,26,26,26
02M059,PS 059 BEEKMAN HILL INTERNATIONAL,K,Gen Ed,86,4,21.5,20,23
02M059,PS 059 BEEKMAN HILL INTERNATIONAL,K,ICT,20,1,20,20,20
02M059,PS 059 BEEKMAN HILL INTERNATIONAL,1,Gen Ed,62,3,20.7,20,21
02M059,PS 059 BEEKMAN HILL INTERNATIONAL,1,ICT,44,2,22,22,22
02M059,PS 059 BEEKMAN HILL INTERNATIONAL,2,Gen Ed,22,1,22,22,22
02M059,PS 059 BEEKMAN HILL INTERNATIONAL,2,ICT,68,3,22.7,22,23
02M059,PS 059 BEEKMAN HILL INTERNATIONAL,3,Gen Ed,45,2,22.5,22,23
02M059,PS 059 BEEKMAN HILL INTERNATIONAL,3,ICT,21,1,21,21,21
02M059,PS 059 BEEKMAN HILL INTERNATIONAL,4,Gen Ed,49,2,24.5,24,25
02M059,PS 059 BEEKMAN HILL INTERNATIONAL,4,ICT,24,1,24,24,24
02M059,PS 059 BEEKMAN HILL INTERNATIONAL,5,Gen Ed,26,1,26,26,26
02M059,PS 059 BEEKMAN HILL INTERNATIONAL,5,ICT,25,1,25,25,25
02M077,PS 77 LOWER LAB SCHOOL,K,G&T,50,2,25,25,25
02M077,PS 77 LOWER LAB SCHOOL,1,G&T,58,2,29,29,29
02M077,PS 77 LOWER LAB SCHOOL,2,G&T,64,3,21.3,21,22
02M077,PS 77 LOWER LAB SCHOOL,3,G&T,64,3,21.3,21,22
02M077,PS 77 LOWER LAB SCHOOL,4,G&T,60,2,30,30,30
02M077,PS 77 LOWER LAB SCHOOL,5,G&T,50,2,25,25,25
02M089,PS 89,K,Gen Ed,45,2,22.5,22,23
02M089,PS 89,K,ICT,23,1,23,23,23
02M089,PS 89,1,Gen Ed,22,1,22,22,22
02M089,PS 89,1,ICT,22,1,22,22,22
02M089,PS 89,2,Gen Ed,38,2,19,19,19
02M089,PS 89,2,ICT,20,1,20,20,20
02M089,PS 89,3,Gen Ed,28,1,28,28,28
02M089,PS 89,3,ICT,32,1,32,32,32
02M089,PS 89,4,Gen Ed,21,1,21,21,21
02M089,PS 89,4,ICT,23,1,23,23,23
02M089,PS 89,5,Gen Ed,19,1,19,19,19
02M089,PS 89,5,ICT,18,1,18,18,18
02M104,JHS 104 SIMON BARUCH,6,Gen Ed,172,8,21.5,18,26
02M104,JHS 104 SIMON BARUCH,6,ICT,84,4,21,19,22
02M104,JHS 104 SIMON BARUCH,7,Gen Ed,207,8,25.9,23,28
02M104,JHS 104 SIMON BARUCH,7,ICT,91,4,22.8,18,27
02M104,JHS 104 SIMON BARUCH,8,Gen Ed,214,8,26.8,26,28
02M104,JHS 104 SIMON BARUCH,8,ICT,112,4,28,27,29
02M111,PS 111 ADOLPH S OCHS,K,Gen Ed,14,1,14,<15,<15
02M111,PS 111 ADOLPH S OCHS,K,ICT,14,1,14,<15,<15
02M111,PS 111 ADOLPH S OCHS,K,ICT & G&T,13,1,13,<15,<15
02M111,PS 111 ADOLPH S OCHS,1,Gen Ed,13,1,13,<15,<15
02M111,PS 111 ADOLPH S OCHS,1,G&T,14,1,14,<15,<15
02M111,PS 111 ADOLPH S OCHS,1,ICT,15,1,15,15,15
02M111,PS 111 ADOLPH S OCHS,2,G&T,23,1,23,23,23
02M111,PS 111 ADOLPH S OCHS,2,ICT,24,1,24,24,24
02M111,PS 111 ADOLPH S OCHS,3,Gen Ed,16,1,16,16,16
02M111,PS 111 ADOLPH S OCHS,3,G&T,16,1,16,16,16
02M111,PS 111 ADOLPH S OCHS,3,ICT,18,1,18,18,18
